Sequence,Volume,Prim_X_Copy,Prim_Y_Copy,Sec_Length,Sec_Breadth,Sec_Height,Prim_Flap,Prim_Cal,Prim_E1,Prim_E2,Headspace,Sec_Flap,Sec_Caliper,Sec_E1,Sec_E2,TopLoad
219,117.96875,2,7,12.5,14,9.4375,1.6,24,3979.13,1437.87,0,7,3,852,509,1370.6
220,258.9743059,2,7,15.312,18.48,12.813,1.584,24,3979.13,1437.87,0,9.24,3,852,509,1570.35
221,258.9743059,2,7,15.312,18.48,12.813,2.112,18,3979.13,1437.87,0,4,3,852,509,1177.14
222,258.9743059,2,7,15.312,18.48,12.813,2.112,24,3979.13,1437.87,0,4,3,852,509,1570.36
223,258.9743059,2,7,15.312,18.48,12.813,2.112,18,3979.13,1437.87,0,9.24,3.6,465,316,1050.58
224,258.9743059,2,7,15.312,18.48,12.813,2.112,18,3979.13,1437.87,0,9.24,3,852,509,1133.81
225,258.9743059,2,7,15.312,18.48,12.813,2.112,24,3979.13,1437.87,0,9.24,3.6,465,316,1510.21
226,386.802,2,7,19,21.112,13.5,1.8096,18,3979.13,1437.87,0,10.556,3,852,509,1262.31
227,386.802,2,7,19,21.112,13.5,1.8096,24,3979.13,1437.87,0,10.556,3.6,465,316,1603.52
228,386.802,2,7,19,21.112,13.5,1.8096,24,3979.13,1437.87,0,10.556,3,852,509,1708.08
229,386.802,2,7,19,21.112,13.5,2.4128,24,3979.13,1437.87,0,4,3,852,509,1634.69
230,386.802,2,7,19,21.112,13.5,2.4128,24,3979.13,1437.87,0,10.556,3,852,509,1647.55
231,117.96875,2,8,12.5,16,9.4375,1.2,18,5029.93,1050,0.75,4,3.6,465,316,1117.73
232,117.96875,2,8,12.5,16,9.4375,1.2,18,5029.93,1050,0.75,4,3,852,509,1199.55
233,117.96875,2,8,12.5,16,9.4375,1.2,24,5029.93,1050,0.75,4,3.6,465,316,1508.71
234,117.96875,2,8,12.5,16,9.4375,1.2,24,5029.93,1050,0.75,4,3,852,509,1576.91
235,117.96875,2,8,12.5,16,9.4375,1.6,18,5029.93,1050,0.75,4,3.6,465,316,1052.4
236,117.96875,2,8,12.5,16,9.4375,1.6,18,5029.93,1050,0.75,4,3,852,509,1175.99
